PAGINA_PDF;INDICE_LIDO_NA_IMAGEM;STATUS_ORDEM;QUALIDADE_NITIDEZ
285;7;ERRO: Leu 7, esperava 2;BOA
286;0;ERRO: Leu 0, esperava 8;BOA
287;9;ERRO: Leu 9, esperava 1;BOA
288;44;ERRO: Leu 44, esperava 10;BOA
289;;DÚVIDA (Não lido). Esperado: 45;BOA
290;;DÚVIDA (Não lido). Esperado: 46;BOA
291;316;ERRO: Leu 316, esperava 47;BOA
292;4;ERRO: Leu 4, esperava 317;BOA
293;;DÚVIDA (Não lido). Esperado: 5;BOA
294;;DÚVIDA (Não lido). Esperado: 6;BOA
295;;DÚVIDA (Não lido). Esperado: 7;BOA
296;;DÚVIDA (Não lido). Esperado: 8;BOA
297;;DÚVIDA (Não lido). Esperado: 9;BOA
298;0;ERRO: Leu 0, esperava 10;BOA
299;;DÚVIDA (Não lido). Esperado: 1;BOA
300;;DÚVIDA (Não lido). Esperado: 2;BOA
301;;DÚVIDA (Não lido). Esperado: 3;BOA
302;;DÚVIDA (Não lido). Esperado: 4;BOA
303;10;ERRO: Leu 10, esperava 5;BOA
304;6;ERRO: Leu 6, esperava 11;BOA
305;206;ERRO: Leu 206, esperava 7;BOA
306;;DÚVIDA (Não lido). Esperado: 207;BOA
307;104;ERRO: Leu 104, esperava 208;BOA
308;5;ERRO: Leu 5, esperava 105;BOA
309;4;ERRO: Leu 4, esperava 6;BOA
310;4;ERRO: Leu 4, esperava 5;BOA
311;;DÚVIDA (Não lido). Esperado: 5;BOA
312;;DÚVIDA (Não lido). Esperado: 6;BOA
313;;DÚVIDA (Não lido). Esperado: 7;BOA
314;;DÚVIDA (Não lido). Esperado: 8;BOA
315;4;ERRO: Leu 4, esperava 9;BOA
316;;DÚVIDA (Não lido). Esperado: 5;BOA
317;;DÚVIDA (Não lido). Esperado: 6;BOA
318;0;ERRO: Leu 0, esperava 7;BOA
319;;DÚVIDA (Não lido). Esperado: 1;BOA
320;;DÚVIDA (Não lido). Esperado: 2;BOA
321;0;ERRO: Leu 0, esperava 3;BOA
322;1;OK;BOA
323;;DÚVIDA (Não lido). Esperado: 2;BOA
324;;DÚVIDA (Não lido). Esperado: 3;BOA
325;;DÚVIDA (Não lido). Esperado: 4;BOA
326;9;ERRO: Leu 9, esperava 5;BOA
327;;DÚVIDA (Não lido). Esperado: 10;BOA
328;;DÚVIDA (Não lido). Esperado: 11;BOA
329;;DÚVIDA (Não lido). Esperado: 12;BOA
330;;DÚVIDA (Não lido). Esperado: 13;BOA
331;14;OK;BOA
332;;DÚVIDA (Não lido). Esperado: 15;BOA
333;;DÚVIDA (Não lido). Esperado: 16;BOA
334;;DÚVIDA (Não lido). Esperado: 17;BOA
